Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,7_Day_Moving_Avg,HighVolatility,Above_Moving_Avg,Symbol
2026-02-26 00:00:00-05:00,274.4602128097023,275.61811956353745,270.3175813011377,272.4637756347656,32345100,0.0,0.0,-0.73,267.38,0,1,AAPL
2026-02-27 00:00:00-05:00,272.3240124520744,272.3240124520744,262.4217010495403,263.7093811035156,72366500,0.0,0.0,-3.16,267.36,0,0,AAPL
2026-03-02 00:00:00-05:00,261.94253069595567,266.0551862059976,259.73647625260065,264.2484130859375,41827900,0.0,0.0,0.88,267.95,0,0,AAPL
2026-03-03 00:00:00-05:00,263.0106738027697,265.08695529305965,259.6666350681776,263.2801818847656,38568900,0.0,0.0,0.1,267.83,0,0,AAPL
2026-03-04 00:00:00-05:00,264.17854815272653,265.67587606267574,260.9543215497597,262.0523376464844,39803100,0.0,0.0,-0.8,267.31,0,0,AAPL
2026-03-05 00:00:00-05:00,260.3254337562426,261.09405110124777,256.79173142961054,259.8263244628906,49658600,0.0,0.0,-0.19,265.62,0,0,AAPL
2026-03-06 00:00:00-05:00,258.16927189629365,258.3090066542827,253.916851068475,257.0013427734375,41120000,0.0,0.0,-0.45,263.23,0,0,AAPL
2026-03-09 00:00:00-04:00,255.2345148744848,260.68477987096253,253.2280857512349,259.41705322265625,38218500,0.0,0.0,1.64,261.36,0,0,AAPL
2026-03-10 00:00:00-04:00,257.19102845716964,262.01244158439727,256.4922936817907,260.3653564453125,30590800,0.0,0.0,1.23,260.88,0,0,AAPL
2026-03-11 00:00:00-04:00,260.62486739620806,261.6630231774062,259.08760235948154,260.3453674316406,26218900,0.0,0.0,-0.11,260.33,0,1,AAPL
2026-03-12 00:00:00-04:00,258.1992253881205,258.48871731031414,253.72719511663237,255.30438232421875,40794000,0.0,0.0,-1.12,259.19,0,0,AAPL
2026-03-13 00:00:00-04:00,255.024890934378,255.87336762960535,249.0755164384504,249.6744384765625,36930000,0.0,0.0,-2.1,257.42,0,0,AAPL
2026-03-16 00:00:00-04:00,251.66090222791988,253.43773019062647,249.4348789230203,252.36964416503903,32074200,0.0,0.0,0.28,256.35,0,0,AAPL
2026-03-17 00:00:00-04:00,252.5093881906664,254.67552076289968,251.7307636559193,253.7771148681641,32361600,0.0,0.0,0.5,255.89,0,0,AAPL
2026-03-18 00:00:00-04:00,252.1799767808244,254.48585937367065,248.5564382882904,249.4947662353516,35757900,0.0,0.0,-1.06,254.48,0,0,AAPL
2026-03-19 00:00:00-04:00,248.95572868612365,251.3814079598573,246.85947863088072,248.5165252685547,34864100,0.0,0.0,-0.18,252.78,0,0,AAPL
2026-03-20 00:00:00-04:00,247.53824109812177,248.75606899357115,245.56177255944445,247.54823303222656,88331100,0.0,0.0,0.0,250.96,0,0,AAPL
2026-03-23 00:00:00-04:00,253.51758537106093,254.1464679788293,249.83415620831627,251.04200744628903,40546100,0.0,0.0,-0.98,250.35,0,1,AAPL
2026-03-24 00:00:00-04:00,249.9040313986812,254.3760464402864,249.10545347620703,251.1917266845703,45152300,0.0,0.0,0.52,250.56,0,1,AAPL
2026-03-25 00:00:00-04:00,253.6473574345128,254.5457480998694,251.15181088451408,252.16998291015625,28476700,0.0,0.0,-0.58,250.53,0,1,AAPL
2026-03-26 00:00:00-04:00,251.67088153367663,256.5421934269488,250.32329549316128,252.43951416015625,41796700,0.0,0.0,0.31,250.34,0,1,AAPL
2026-03-27 00:00:00-04:00,253.4477020992108,255.03488128462607,247.6281009352486,248.35679626464844,47900000,0.0,0.0,-2.01,250.18,0,0,AAPL
2026-03-30 00:00:00-04:00,249.62453299565456,250.4230956915925,245.07264337813007,246.19065856933597,39446200,0.0,0.0,-1.38,249.85,0,0,AAPL
2026-03-31 00:00:00-04:00,247.46837564153284,255.02488248828536,246.65982101631488,253.337890625,49598100,0.0,0.0,2.37,250.68,1,1,AAPL
2026-04-01 00:00:00-04:00,253.62737973002484,255.7236296181179,252.8787157917901,255.17462158203125,40059400,0.0,0.0,0.61,251.27,0,1,AAPL
